         q                   u
  0.50581913E+03     -0.53854107E-01
  0.50596000E+03     -0.53941308E-01
  0.50609993E+03     -0.54028109E-01
  0.50623893E+03     -0.54114509E-01
  0.50637700E+03     -0.54200506E-01
  0.50651415E+03     -0.54286099E-01
  0.50665037E+03     -0.54371287E-01
  0.50678566E+03     -0.54456066E-01
  0.50692005E+03     -0.54540437E-01
  0.50705351E+03     -0.54624399E-01
  0.50718607E+03     -0.54707949E-01
  0.50731772E+03     -0.54791087E-01
  0.50744846E+03     -0.54873811E-01
  0.50757831E+03     -0.54956120E-01
  0.50770725E+03     -0.55038013E-01
  0.50783530E+03     -0.55119490E-01
  0.50796246E+03     -0.55200547E-01
  0.50808872E+03     -0.55281185E-01
  0.50821410E+03     -0.55361403E-01
  0.50833860E+03     -0.55441199E-01
  0.50846222E+03     -0.55520573E-01
  0.50858496E+03     -0.55599524E-01
  0.50870683E+03     -0.55678051E-01
  0.50882782E+03     -0.55756509E-01
  0.50894795E+03     -0.55836076E-01
  0.50906722E+03     -0.55915206E-01
  0.50918563E+03     -0.55993908E-01
  0.50930317E+03     -0.56072182E-01
  0.50941986E+03     -0.56150026E-01
  0.50953570E+03     -0.56227439E-01
  0.50965069E+03     -0.56304421E-01
  0.50976484E+03     -0.56380972E-01
  0.50987814E+03     -0.56457088E-01
  0.50999061E+03     -0.56532771E-01
  0.51010224E+03     -0.56608021E-01
  0.51021303E+03     -0.56682834E-01
  0.51032300E+03     -0.56757212E-01
  0.51043213E+03     -0.56831154E-01
  0.51054045E+03     -0.56904659E-01
  0.51064794E+03     -0.56977726E-01
  0.51075462E+03     -0.57050965E-01
  0.51086048E+03     -0.57124019E-01
  0.51096553E+03     -0.57196634E-01
  0.51106977E+03     -0.57268809E-01
  0.51117321E+03     -0.57340907E-01
  0.51127585E+03     -0.57417003E-01
  0.51137769E+03     -0.57492656E-01
  0.51147873E+03     -0.57567862E-01
  0.51157898E+03     -0.57642619E-01
  0.51167844E+03     -0.57716929E-01
  0.51177711E+03     -0.57790788E-01
  0.51187500E+03     -0.57864198E-01
  0.51197211E+03     -0.57937157E-01
  0.51206844E+03     -0.58009663E-01
  0.51216400E+03     -0.58081718E-01
  0.51225879E+03     -0.58153319E-01
  0.51235281E+03     -0.58224468E-01
  0.51244607E+03     -0.58295161E-01
  0.51253857E+03     -0.58365400E-01
  0.51263031E+03     -0.58435184E-01
  0.51272129E+03     -0.58510385E-01
  0.51281152E+03     -0.58587473E-01
  0.51290100E+03     -0.58664113E-01
  0.51298974E+03     -0.58740300E-01
  0.51307773E+03     -0.58816033E-01
  0.51316499E+03     -0.58891312E-01
  0.51325151E+03     -0.58966135E-01
  0.51333729E+03     -0.59055477E-01
  0.51342234E+03     -0.59155208E-01
  0.51350667E+03     -0.59254829E-01
  0.51359028E+03     -0.59354326E-01
  0.51367316E+03     -0.59453695E-01
  0.51375533E+03     -0.59552930E-01
  0.51383678E+03     -0.59652023E-01
  0.51391752E+03     -0.59750970E-01
  0.51399755E+03     -0.59849763E-01
  0.51407688E+03     -0.59948395E-01
  0.51415550E+03     -0.60046861E-01
  0.51423343E+03     -0.60145153E-01
  0.51431066E+03     -0.60243264E-01
  0.51438719E+03     -0.60341188E-01
  0.51446304E+03     -0.60438916E-01
  0.51453820E+03     -0.60536443E-01
  0.51461268E+03     -0.60633761E-01
  0.51468648E+03     -0.60730861E-01
  0.51475960E+03     -0.60827737E-01
  0.51483204E+03     -0.60933062E-01
  0.51490382E+03     -0.61053733E-01
  0.51497493E+03     -0.61184566E-01
  0.51504537E+03     -0.61318069E-01
  0.51511516E+03     -0.61452787E-01
  0.51518428E+03     -0.61588764E-01
  0.51525275E+03     -0.61726051E-01
  0.51532057E+03     -0.61864793E-01
  0.51538773E+03     -0.62008760E-01
  0.51545426E+03     -0.62154268E-01
  0.51552013E+03     -0.62301375E-01
  0.51558537E+03     -0.62450148E-01
  0.51564998E+03     -0.62600656E-01
  0.51571395E+03     -0.62752973E-01
  0.51577729E+03     -0.62907177E-01
  0.51584000E+03     -0.63063350E-01
  0.51590209E+03     -0.63221580E-01
  0.51596356E+03     -0.63381959E-01
  0.51602441E+03     -0.63544589E-01
  0.51608464E+03     -0.63709571E-01
  0.51614426E+03     -0.63877018E-01
  0.51620328E+03     -0.64047048E-01
  0.51626169E+03     -0.64219789E-01
  0.51631950E+03     -0.64395374E-01
  0.51637671E+03     -0.64573949E-01
  0.51643332E+03     -0.64755665E-01
  0.51648934E+03     -0.64940690E-01
  0.51654477E+03     -0.65138590E-01
  0.51659961E+03     -0.65348605E-01
  0.51665387E+03     -0.65563766E-01
  0.51670755E+03     -0.65784387E-01
  0.51676066E+03     -0.66010837E-01
  0.51681319E+03     -0.66249115E-01
  0.51686514E+03     -0.66496779E-01
  0.51691653E+03     -0.66751902E-01
  0.51696736E+03     -0.67015012E-01
  0.51701762E+03     -0.67286699E-01
  0.51706733E+03     -0.67567619E-01
  0.51711648E+03     -0.67858492E-01
  0.51716508E+03     -0.68160111E-01
  0.51721312E+03     -0.68473352E-01
  0.51726063E+03     -0.68799185E-01
  0.51730759E+03     -0.69138692E-01
  0.51735401E+03     -0.69493048E-01
  0.51739989E+03     -0.69863230E-01
  0.51744524E+03     -0.70250125E-01
