     Time             uy
0.204082733037  0.0418410041841
1.49732562654  4.30962343096
2.65981538196  6.82008368201
3.6942479403  10.0836820084
4.85781607212  13.5983263598
6.02084501574  16.6108786611
7.31166156235  18.6192468619
8.08512703274  18.870292887
9.11551567959  18.3682008368
9.62963162662  17.1129707113
10.1440171678  16.1087866109
11.0433830824  13.5983263598
11.9405922443  9.07949790795
12.9674761679  5.31380753138
13.7360889445  1.0460251046
14.3774533063  -1.71548117155
15.1474140534  -4.7280334728
16.0462407799  -7.74058577406
16.8167407152  -10.2510460251
17.5888582151  -11.2552301255
18.3620540914  -11.2552301255
19.0069231765  -10.7531380753
19.7820062114  -8.99581589958
20.428223267  -7.23849372385
21.0757882931  -4.22594142259
21.722814131  -1.71548117155
22.2412435837  1.0460251046
22.889347798  4.56066945607
23.795183971  8.07531380753
24.4432881853  11.589958159
25.4779903377  15.1046025105
25.8662058405  16.6108786611
26.5113445197  17.3640167364
27.2850795842  17.8661087866
27.9286006988  17.1129707113
28.4429862399  16.1087866109
28.9565629987  14.3514644351
29.212946987  13.0962343096
29.7262541517  11.0878661088
30.1106953371  9.07949790795
30.7517901048  6.06694560669
31.1351529138  3.05439330544
31.7751693051  -0.962343096234
32.5424341112  -6.48535564854
33.4380257085  -12.510460251
34.0769637234  -17.5313807531
34.5881141354  -21.5481171548
35.3561877238  -26.3179916318
36.1261484709  -29.3305439331
36.5113984385  -30.5857740586
36.8971875944  -31.3389121339
37.9275762412  -31.8410041841
38.4441185351  -30.8368200837
38.9609304232  -29.5815899582
39.4780119053  -28.0753138075
39.6084954493  -26.5690376569
39.9964413579  -25.3138075314
40.9041646896  -20.0418410042
41.4239421128  -16.0251046025
42.0728551093  -11.7573221757
42.7223072941  -6.98744769874
43.1132187379  -2.97071129707
43.8918064961  2.05020920502
44.2824483458  5.81589958159
44.9319005306  10.5857740586
45.5800047449  14.10041841
45.9684898417  15.8577405858
46.3561661562  16.8619246862
46.744381659  18.3682008368
47.5186559117  19.3723849372
48.2913125997  18.870292887
48.8056981409  17.8661087866
49.3198140879  16.6108786611
49.5753892939  14.6025104603
50.2159448734  11.0878661088
50.9842880559  6.5690376569
51.495977656  3.05439330544
51.7485873269  -1.71548117155
52.3877949359  -6.48535564854
53.1561381184  -11.0041841004
53.5373441746  -16.0251046025
53.919089419  -20.5439330544
54.686084631  -26.3179916318
55.3258314282  -30.5857740586
56.094983393  -34.3514644351
56.7363477548  -37.1129707113
56.8641353578  -38.1171548117
57.6365224518  -38.870292887
58.2813915369  -38.3682008368
58.798473019  -36.8619246862
59.1866885218  -35.3556485356
59.5746344304  -34.10041841
59.7053875685  -32.3430962343
60.0936030712  -30.8368200837
60.2240866152  -29.3305439331
60.6123021179  -27.8242677824
61.0034831558  -23.5564853556
62.043038002  -15.5230125523
62.4350278221  -10.5020920502
62.8275568304  -4.97907949791
63.6077621533  1.54811715481
64.3887762585  8.82845188285
64.7807660786  13.8493723849
65.5612409956  20.6276150628
66.2115019626  26.1506276151
67.2472824915  30.6694560669
67.7638247854  31.6736401674
68.4089634646  32.4267782427
69.0524845792  31.6736401674
69.4374649528  30.1673640167
69.6941185351  29.1631799163
70.0785597205  27.1548117155
70.846902903  22.6359832636
71.6133589268  16.359832636
72.5078721477  9.33054393305
73.3996894276  -0.20920502092
73.9081438985  -6.73640167364
74.5462731312  -12.510460251
75.3129987491  -18.5355648536
76.0794547729  -24.8117154812
76.7183927878  -29.8326359833
77.1031035673  -31.589958159
77.488623129  -32.5941422594
78.002739076  -33.8493723849
78.6473385671  -33.5983263598
79.1636112669  -32.8451882845
79.4221520079  -32.0920502092
80.0691778458  -29.5815899582
80.3301449338  -26.5690376569
81.111159039  -19.2887029289
82.5400077643  -8.74476987448
83.0638290989  -0.962343096234
83.8456519864  7.07112970711
83.9796402536  11.8410041841
84.7606543588  19.1213389121
85.5438252168  28.410041841
86.4531661131  35.1882845188
86.9740219126  40.2092050209
87.4924513652  42.9707112971
88.2683431825  45.4811715481
88.5268839236  46.2343096234
89.3006189881  46.7364016736
89.5570029763  45.4811715481
90.0713885174  44.4769874477
90.1991761204  43.4728033473
90.4550209205  41.7154811715
90.9688672734  40.2092050209
91.0963852823  38.9539748954
91.7337057326  32.4267782427
92.4996225683  25.6485355649
93.1350558599  17.3640167364
94.027412328  8.32635983264
94.7879372816  -3.47280334728
95.8091597291  -12.510460251
96.7017857913  -21.2970711297
97.4693201915  -26.5690376569
98.1096061769  -30.3347280335
98.4943169564  -32.0920502092
99.9099555709  -33.8493723849
