     id                xc                yc                zc                ra                vx                vy                vz     ct
     44   -4.04761905e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    2.89798579e-02    2.97497306e-03    4.34604224e-03     -1
     45   -3.09523810e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    7.09948084e-04    1.78794002e-02    1.76251671e-02     -1
     46   -2.61904762e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    9.59795583e-03    2.66824930e-02    1.51558719e-03     -1
     47   -2.14285714e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    6.60416810e-04    4.48241822e-02    5.94396249e-03     -1
     48   -1.66666667e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    3.86779137e-02    2.28991729e-02    3.93085949e-02     -1
     49   -1.19047619e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    2.32097642e-02    3.76863687e-02    5.51207611e-03     -1
     50   -7.14285714e-02   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    1.51945231e-02    1.37540975e-02    4.41451542e-02     -1
     51   -2.38095238e-02   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    2.56966425e-02    4.50258047e-02    2.60478223e-02     -1
     52    2.38095238e-02   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    2.26393189e-02    3.09180026e-03    2.03784666e-02     -1
     53    7.14285714e-02   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    1.21771333e-02    1.43790759e-02    2.60615552e-02     -1
     54    1.19047619e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    4.39697193e-02    4.33589339e-02    2.90365283e-02     -1
     55    1.66666667e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    4.83157616e-02    4.40688820e-02    4.69159285e-02     -1
     56    2.14285714e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    1.59409287e-02    3.66683779e-03    2.35984214e-02     -1
     57    2.61904762e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    1.74565158e-02    4.32725460e-03    1.84226036e-02     -1
     58    3.09523810e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    2.34004783e-02    4.30051683e-02    4.13217765e-02     -1
     59    3.57142857e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    1.27090732e-02    1.62149326e-02    2.90081452e-02     -1
     60    4.04761905e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    1.82211493e-02    3.14094557e-02    4.27622427e-02     -1
     61    4.52380952e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    1.23663036e-02    7.10609821e-03    3.77880474e-02     -1
     62   -4.76190476e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    3.84141259e-02    2.97454171e-02    4.08798476e-02     -1
     63   -4.28571429e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    8.79259243e-03    4.19225505e-02    5.25892356e-03     -1
     64   -3.80952381e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    3.48541476e-02    3.58922698e-02    4.86178574e-02     -1
     65   -3.33333333e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    1.38906759e-02    3.42080313e-02    4.26867394e-02     -1
     66   -2.85714286e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    1.08066043e-02    1.48959924e-04    4.63535772e-02     -1
     67   -1.90476190e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    3.44050258e-02    1.76054758e-02    6.80831774e-04     -1
     68   -1.42857143e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    2.82762933e-03    4.10059541e-02    4.36860001e-02     -1
     69   -9.52380952e-02   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    4.41494058e-02    3.71502736e-03    9.90093267e-03     -1
     70   -4.76190476e-02   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    2.31575510e-02    2.19361767e-02    4.13103884e-02     -1
     71   -5.55111512e-17   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    1.59197937e-02    3.43024803e-02    4.84164866e-02     -1
     72    4.76190476e-02   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    3.70784102e-03    2.27166061e-02    2.81619037e-02     -1
     73    9.52380952e-02   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    4.45876886e-02    3.15091985e-02    2.00844542e-02     -1
     74    1.42857143e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    4.98466122e-02    1.63633461e-02    5.97672391e-03     -1
     75    1.90476190e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    4.84644696e-02    3.02540220e-02    4.01847552e-02     -1
     76    2.38095238e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    4.11512090e-02    4.10606264e-02    4.03337151e-02     -1
     77    2.85714286e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    3.75047862e-02    2.54656521e-02    7.93919091e-03     -1
     78    3.80952381e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    3.81856180e-02    2.82932815e-02    4.89451450e-02     -1
     79    4.28571429e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    3.18716180e-02    2.24426873e-02    2.66017236e-03     -1
     80    4.76190476e-01   -3.11233256e-01   -4.52380952e-01    2.38095238e-02    4.17725507e-02    4.56002383e-02    2.45963491e-02     -1
     81   -4.52380952e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    3.30829390e-02    1.15200320e-02    8.89882932e-03     -1
     82   -4.04761905e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    3.14994256e-02    1.52278730e-02    3.16154354e-02     -1
     83   -3.57142857e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    9.66132931e-03    9.81556159e-03    1.31246339e-02     -1
     84   -3.09523810e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    2.97457835e-02    9.66217379e-03    2.94879801e-02     -1
     85   -2.61904762e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    3.57225074e-02    8.12664340e-03    9.74200208e-03     -1
     86   -2.14285714e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    2.59072626e-02    4.92778524e-02    8.02628440e-04     -1
     87   -1.66666667e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    1.62409777e-02    3.67826386e-02    2.62682806e-02     -1
     88   -1.19047619e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    2.41801686e-02    2.49682565e-02    4.56156202e-03     -1
