     id                xc                yc                zc                ra                vx                vy                vz     ct
      0    1.32872308e+00    1.39186140e-01    5.00000000e-02    5.00000000e-02    6.05105454e-03    1.57517739e-02    0.00000000e+00     -2
      1   -4.61663873e-01    1.35652844e+00    5.00000000e-02    5.00000000e-02    7.57992970e-03    1.56622375e-02    0.00000000e+00     -1
      2    2.38855895e-01   -3.80460506e-01    5.00000000e-02    5.00000000e-02    2.14832247e-02    4.04423549e-03    0.00000000e+00     -3
      3    1.04504591e+00   -1.09840911e+00    5.00000000e-02    5.00000000e-02    8.09238794e-03   -1.69316574e-02    0.00000000e+00     -4
      4   -3.55065850e-01   -1.24425091e+00    5.00000000e-02    5.00000000e-02    2.59795193e-03   -4.55069334e-03    0.00000000e+00     -4
      5    2.88017201e-01    6.30782431e-01    5.00000000e-02    5.00000000e-02    1.08302212e-02    8.40745416e-03    0.00000000e+00     -1
      6    6.75148536e-01   -1.46376096e-02    5.00000000e-02    5.00000000e-02    1.04604702e-02    1.44388007e-02    0.00000000e+00     -3
      7    1.38152266e+00    6.20482558e-01    5.00000000e-02    5.00000000e-02   -1.65142150e-03   -9.25390552e-03    0.00000000e+00     -1
      8   -3.49162535e-01    7.89636185e-01    5.00000000e-02    5.00000000e-02    8.53259646e-03   -5.08200490e-03    0.00000000e+00     -1
      9   -1.43437433e+00   -9.46779336e-01    5.00000000e-02    5.00000000e-02    2.36501185e-02   -1.83102024e-02    0.00000000e+00     -4
     10   -1.18480153e+00    4.24456739e-01    5.00000000e-02    5.00000000e-02    2.30186399e-02   -1.02754755e-02    0.00000000e+00     -1
     11   -1.37105795e+00   -6.68427603e-01    5.00000000e-02    5.00000000e-02    9.17662058e-03    1.71537706e-02    0.00000000e+00     -4
     12   -3.81913854e-01   -6.23023264e-02    5.00000000e-02    5.00000000e-02   -3.34596062e-03   -1.51432527e-02    0.00000000e+00     -3
     13    1.37122091e+00   -1.44383679e+00    5.00000000e-02    5.00000000e-02    2.04059432e-02    1.29005204e-02    0.00000000e+00     -4
     14   -6.51683123e-01    6.95304158e-01    5.00000000e-02    5.00000000e-02   -9.51219922e-03   -4.44083259e-03    0.00000000e+00     -1
