     id                xc                yc                zc                ra                vx                vy                vz     ct
      0   -4.58333333e-01   -4.58333333e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      1   -3.75000000e-01   -4.58333333e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      2   -2.91666667e-01   -4.58333333e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      3   -2.08333333e-01   -4.58333333e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      4   -1.25000000e-01   -4.58333333e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      5    4.16666667e-02   -4.58333333e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      6    2.08333333e-01   -4.58333333e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      7   -5.00000000e-01   -3.86164550e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      8   -4.16666667e-01   -3.86164550e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
      9   -3.33333333e-01   -3.86164550e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
     10   -1.66666667e-01   -3.86164550e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
     11   -8.32667268e-17   -3.86164550e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
     12    2.50000000e-01   -3.86164550e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
     13    3.33333333e-01   -3.86164550e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
     14   -4.58333333e-01   -3.13995766e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
     15   -3.75000000e-01   -3.13995766e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
     16   -4.16666667e-02   -3.13995766e-01   -4.16666667e-01    4.16666667e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00     -1
