           r             st
102.670371217  14.4512165137
109.565925467  16.0052183824
117.199111371  18.3748383719
122.504563192  18.6098391384
129.945241697  16.9940497713
137.030989207  15.7387453319
144.607767984  14.9871709946
154.097471514  13.417432984
166.128099138  12.4454948062
172.979395489  11.5505595876
184.655092117  10.9391063376
196.332090448  10.3996806489
