            r             st
102.703367988  16.9602965451
110.761344879  17.0450320002
118.146013727  15.9259216356
123.386232661  15.1231646926
130.14248067  13.5471315629
137.768961223  12.4517679766
144.118328458  12.105238771
155.209811474  10.6675161449
165.86545423  9.97741160117
173.525238192  9.43621673279
185.023601981  8.76899018273
196.416263647  8.34288031045
