    u_b                 p_y
0.0  0.0
0.00546826085317  0.212194772376
0.00687059178516  0.287249273941
0.00957153094708  0.37263531098
0.0116273149021  0.455444498925
0.0163135065817  0.579628106966
0.0210038471693  0.706400633651
0.0315752649644  0.902965337759
0.0453558631615  1.10205861276
0.0544585674952  1.182146117
0.0583626900011  1.21831856071
0.0648349866103  1.25703164485
0.0719358427941  1.28796590352
0.0809431222419  1.30850827896
0.0938088862068  1.33674499302
0.102175159356  1.35729943801
0.113097159884  1.37262776751
0.141351223928  1.403163731
0.175353600121  1.42064647531
0.214475728888  1.43285482593
0.25424716177  1.45022894429
