       Ea               Sa
0.0                0.0
0.000124243975807  1949.34237896
0.000294569426222  3743.31978623
0.000480575378412  6082.91465327
0.000635580338571  8032.57704247
0.000821586290761  10372.1719095
0.00105407373036  13257.7042465
0.0013486031553  17001.0240328
0.00172053505712  21524.3687798
0.0019374219975  24020.1286441
0.00209246695894  26047.7135268
0.00221635092323  27373.6759576
0.00244743831803  27531.9210215
0.00286333162661  27692.0861468
0.00326382444238  27852.0912669
0.0120130244168  31293.6413965
