     u                p
0.00113628411477  0.174947515745
0.0214135759272  2890.13296011
0.035460986704  4485.82925122
0.0597874387684  5967.63470959
0.100378761372  6666.72498251
0.139886284115  7250.17494752
0.177205213436  7648.53044087
0.219079776067  8024.4926522
0.256409202239  8399.75507348
0.272233205038  8586.94891533
