            r             st
102.547057394  13.0818823543
109.686401152  11.4605432278
117.930704346  10.4646451042
122.294767107  9.90622191122
130.056126318  9.07946397463
134.419749906  8.49694481937
141.941613405  7.86318880636
152.740147152  7.00940708708
166.704386753  6.51401986819
173.378353452  6.02565941836
185.039715884  5.84574485216
196.574742864  5.40089181411
