           r             st
102.350465963  10.4522520817
110.190372111  11.9997246388
117.473388922  14.5312119048
122.062742196  15.5797643941
130.003183864  16.6714568041
137.625956235  18.7468197216
143.544070699  20.1052109238
154.949187254  21.0959949288
166.612598348  22.5420427785
173.838535078  20.8529886729
185.019633827  19.3500902095
196.338413174  18.2786483207
